Country,Location,Site,Latitude,Longitude,Depth,Zone,Protected,Year,Month,Remarks,Method,Replicate,Programme,Surveyor,Publication,Fish_area_m2,Chaetodontidae_no,Haemulidae_no,Lutjanidae_no,Serranidae_no,Labridae_no,Scaridae_no,Muraenidae_no
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,2600,0,0
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,700,0,0,0,6500,0,0
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,1700,0,0
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,100,0,0,0,10100,0,0
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,80,0,0,0,160,0,0
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,360,0,280,0,640,40,0
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,160,0,80,0,160,0,0
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,40,0,0,0,280,0,0
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,0,0,0,0,240,0,0
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,0,0,0,0,160,40,0
Indonesia,North Maluku _Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",3,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,14800,0,0
Indonesia,North Maluku _Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",3,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,22200,0,0
Indonesia,North Maluku _Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",3,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,7600,0,0
Indonesia,North Maluku _Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",8,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,100,0,0,0,13800,0,0
Indonesia,North Maluku _Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",8,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,400,0,0,0,11700,0,0
Indonesia,North Maluku _Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",8,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,2800,0,0
Indonesia,North Maluku _Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",3,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,320,0,0,0,160,40,0
Indonesia,North Maluku _Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",3,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,40,0,0,0,200,40,0
